Date,Occupation,Ethnicity,Numerator,Denominator,Percentage
Apr 2018-Mar 2019,Prof. occups.,White,51900,125200,41.45367412
Apr 2018-Mar 2019,Associate prof. & tech. occups.,White,23800,125200,19.00958466
Apr 2018-Mar 2019,Admin. & secretarial occups.,White,7300,125200,5.830670927
Apr 2018-Mar 2019,Skilled trades occups.,White,4900,125200,3.913738019
Apr 2018-Mar 2019,"Caring, leisure and other occs.",White,7100,125200,5.670926518
Apr 2018-Mar 2019,Sales & consumer service occs.,White,1500,125200,1.198083067
Apr 2018-Mar 2019,"Process, plant & mach. Opers",White,3700,125200,2.955271565
Apr 2018-Mar 2019,Elementary occups.,White,4800,125200,3.833865815
Jul 2018-Jun 2019,"Managers, directors & seniors",White,18500,121600,15.21381579
Jul 2018-Jun 2019,Prof. occups.,White,47400,121600,38.98026316
Jul 2018-Jun 2019,Associate prof. & tech. occups.,White,29400,121600,24.17763158
Jul 2018-Jun 2019,Admin. & secretarial occups.,White,7200,121600,5.921052632
Jul 2018-Jun 2019,Skilled trades occups.,White,5100,121600,4.194078947
Jul 2018-Jun 2019,"Caring, leisure and other occs.",White,5200,121600,4.276315789
Jul 2018-Jun 2019,Sales & consumer service occs.,White,!,121600,#VALUE!
Jul 2018-Jun 2019,"Process, plant & mach. Opers",White,2700,121600,2.220394737
Jul 2018-Jun 2019,Elementary occups.,White,4800,121600,3.947368421
Oct 2018-Sep 2019,"Managers, directors & seniors",White,17000,125000,13.6
Oct 2018-Sep 2019,Prof. occups.,White,44800,125000,35.84
Oct 2018-Sep 2019,Associate prof. & tech. occups.,White,39600,125000,31.68
Oct 2018-Sep 2019,Admin. & secretarial occups.,White,5700,125000,4.56
Oct 2018-Sep 2019,Skilled trades occups.,White,4200,125000,3.36
Oct 2018-Sep 2019,"Caring, leisure and other occs.",White,5700,125000,4.56
Oct 2018-Sep 2019,Sales & consumer service occs.,White,2200,125000,1.76
Oct 2018-Sep 2019,"Process, plant & mach. Opers",White,1500,125000,1.2
Oct 2018-Sep 2019,Elementary occups.,White,4300,125000,3.44
Jan 2019-Dec 2019,"Managers, directors & seniors",White,17000,126100,13.481364
Jan 2019-Dec 2019,Prof. occups.,White,46900,126100,37.1927042
Jan 2019-Dec 2019,Associate prof. & tech. occups.,White,40000,126100,31.72085646
Jan 2019-Dec 2019,Admin. & secretarial occups.,White,5600,126100,4.440919905
Jan 2019-Dec 2019,Skilled trades occups.,White,3700,126100,2.934179223
Jan 2019-Dec 2019,"Caring, leisure and other occs.",White,4900,126100,3.885804917
